"","FIPS","Date","MMWR_week","Recip_County","Recip_State","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Census2019","date_updated","county","state","total_population","health_service_area_number","health_service_area","covid_inpatient_bed_utilization","covid_hospital_admissions_per_100k","covid_cases_per_100k","covid.19_community_level"
"264",8037,2022-03-31,13,"Eagle County","CO",97.1,55129,95,45162,81.9,20072,44.4,55127,2022-03-24,"Eagle County, CO","Colorado",55127,711,"Mesa, CO - Garfield, CO","1.4%",4,47.16,"Low"
"265",8039,2022-03-31,13,"Elbert County","CO",97.1,10920,40.9,10013,37.5,5148,51.4,26729,2022-03-24,"Elbert County, CO","Colorado",26729,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,11.22,"Low"
"266",8041,2022-03-31,13,"El Paso County","CO",97.1,531701,73.8,461308,64,185907,40.3,720403,2022-03-24,"El Paso County, CO","Colorado",720403,754,"El Paso (Colorado Springs), CO - Teller, CO","1.4%",2.4,21.65,"Low"
"267",8043,2022-03-31,13,"Fremont County","CO",97.1,23699,49.5,21047,44,9944,47.2,47839,2022-03-24,"Fremont County, CO","Colorado",47839,812,"Fremont, CO - Custer, CO","3.0%",0,20.9,"Low"
"268",8045,2022-03-31,13,"Garfield County","CO",97.1,42516,70.8,38594,64.3,18432,47.8,60061,2022-03-24,"Garfield County, CO","Colorado",60061,711,"Mesa, CO - Garfield, CO","1.4%",4,31.63,"Low"
"269",8047,2022-03-31,13,"Gilpin County","CO",97.1,3992,63.9,3618,58,2075,57.4,6243,2022-03-24,"Gilpin County, CO","Colorado",6243,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,32.04,"Low"
"270",8049,2022-03-31,13,"Grand County","CO",97.1,11438,72.7,9883,62.8,5169,52.3,15734,2022-03-24,"Grand County, CO","Colorado",15734,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,19.07,"Low"
"271",8051,2022-03-31,13,"Gunnison County","CO",97.1,13328,76.3,12047,69,6517,54.1,17462,2022-03-24,"Gunnison County, CO","Colorado",17462,761,"Montrose, CO - Delta, CO","1.3%",1.9,17.18,"Low"
"272",8053,2022-03-31,13,"Hinsdale County","CO",97.1,539,65.7,525,64,283,53.9,820,2022-03-24,"Hinsdale County, CO","Colorado",820,761,"Montrose, CO - Delta, CO","1.3%",1.9,0,"Low"
"273",8055,2022-03-31,13,"Huerfano County","CO",97.1,4057,58.8,3720,53.9,2000,53.8,6897,2022-03-24,"Huerfano County, CO","Colorado",6897,704,"Pueblo (Pueblo), CO - Las Animas, CO","1.1%",1.5,14.5,"Low"
"274",8057,2022-03-31,13,"Jackson County","CO",97.1,660,47.4,636,45.7,340,53.5,1392,2022-03-24,"Jackson County, CO","Colorado",1392,771,"Albany, WY - Carbon, WY","0.4%",3.6,0,"Low"
"275",8059,2022-03-31,13,"Jefferson County","CO",97.1,488585,83.8,449909,77.2,251883,56,582881,2022-03-24,"Jefferson County, CO","Colorado",582881,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,41.69,"Low"
"276",8061,2022-03-31,13,"Kiowa County","CO",97.1,544,38.7,527,37.5,276,52.4,1406,2022-03-24,"Kiowa County, CO","Colorado",1406,745,"Otero, CO - Prowers, CO","0.0%",0,0,"Low"
"277",8063,2022-03-31,13,"Kit Carson County","CO",97.1,2966,41.8,2750,38.7,1197,43.5,7097,2022-03-24,"Kit Carson County, CO","Colorado",7097,754,"El Paso (Colorado Springs), CO - Teller, CO","1.4%",2.4,0,"Low"
"278",8065,2022-03-31,13,"Lake County","CO",97.1,5516,67.9,4841,59.6,2284,47.2,8127,2022-03-24,"Lake County, CO","Colorado",8127,786,"Chaffee, CO - Lake, CO","0.0%",0,12.3,"Low"
"279",8067,2022-03-31,13,"La Plata County","CO",97.1,44145,78.5,39522,70.3,22576,57.1,56221,2022-03-24,"La Plata County, CO","Colorado",56221,740,"San Juan, NM - Navajo, AZ","2.2%",3.1,35.57,"Low"
"280",8069,2022-03-31,13,"Larimer County","CO",97.1,267241,74.9,241548,67.7,138790,57.5,356899,2022-03-24,"Larimer County, CO","Colorado",356899,796,"Larimer, CO","1.1%",2,33.34,"Low"
"281",8071,2022-03-31,13,"Las Animas County","CO",97.1,9625,66.4,8910,61.4,4548,51,14506,2022-03-24,"Las Animas County, CO","Colorado",14506,704,"Pueblo (Pueblo), CO - Las Animas, CO","1.1%",1.5,48.26,"Low"
"282",8073,2022-03-31,13,"Lincoln County","CO",97.1,2121,37.2,2051,36,1027,50.1,5701,2022-03-24,"Lincoln County, CO","Colorado",5701,754,"El Paso (Colorado Springs), CO - Teller, CO","1.4%",2.4,0,"Low"
"283",8075,2022-03-31,13,"Logan County","CO",97.1,9064,40.4,8511,38,3800,44.6,22409,2022-03-24,"Logan County, CO","Colorado",22409,763,"Logan, CO - Phillips, CO","1.2%",6.9,26.77,"Low"
"284",8077,2022-03-31,13,"Mesa County","CO",97.1,84083,54.5,76542,49.6,40744,53.2,154210,2022-03-24,"Mesa County, CO","Colorado",154210,711,"Mesa, CO - Garfield, CO","1.4%",4,25.94,"Low"
"285",8079,2022-03-31,13,"Mineral County","CO",97.1,659,85.7,634,82.4,394,62.1,769,2022-03-24,"Mineral County, CO","Colorado",769,731,"Alamosa, CO - Rio Grande, CO","3.0%",2.1,0,"Low"
"286",8081,2022-03-31,13,"Moffat County","CO",97.1,6410,48.3,5731,43.1,2399,41.9,13283,2022-03-24,"Moffat County, CO","Colorado",13283,735,"Routt, CO - Moffat, CO","0.0%",0,67.76,"Low"
"287",8083,2022-03-31,13,"Montezuma County","CO",97.1,20932,79.9,17955,68.6,8982,50,26183,2022-03-24,"Montezuma County, CO","Colorado",26183,740,"San Juan, NM - Navajo, AZ","2.2%",3.1,129.86,"Low"
"288",8085,2022-03-31,13,"Montrose County","CO",97.1,23299,54.5,20793,48.6,10681,51.4,42758,2022-03-24,"Montrose County, CO","Colorado",42758,761,"Montrose, CO - Delta, CO","1.3%",1.9,11.69,"Low"
"289",8087,2022-03-31,13,"Morgan County","CO",97.1,15547,53.5,13972,48.1,5834,41.8,29068,2022-03-24,"Morgan County, CO","Colorado",29068,760,"Weld, CO - Morgan, CO","1.1%",3.5,20.64,"Low"
"290",8089,2022-03-31,13,"Otero County","CO",97.1,9603,52.5,8951,49,4487,50.1,18278,2022-03-24,"Otero County, CO","Colorado",18278,745,"Otero, CO - Prowers, CO","0.0%",0,0,"Low"
"291",8091,2022-03-31,13,"Ouray County","CO",97.1,3588,72.5,3221,65,2016,62.6,4952,2022-03-24,"Ouray County, CO","Colorado",4952,761,"Montrose, CO - Delta, CO","1.3%",1.9,121.16,"Low"
"292",8093,2022-03-31,13,"Park County","CO",97.1,9670,51.3,8881,47.1,4785,53.9,18845,2022-03-24,"Park County, CO","Colorado",18845,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,31.84,"Low"
"293",8095,2022-03-31,13,"Phillips County","CO",97.1,2463,57.7,2222,52.1,950,42.8,4265,2022-03-24,"Phillips County, CO","Colorado",4265,763,"Logan, CO - Phillips, CO","1.2%",6.9,23.45,"Low"
"294",8097,2022-03-31,13,"Pitkin County","CO",97.1,18383,95,14643,82.4,6946,47.4,17767,2022-03-24,"Pitkin County, CO","Colorado",17767,711,"Mesa, CO - Garfield, CO","1.4%",4,95.68,"Low"
"295",8099,2022-03-31,13,"Prowers County","CO",97.1,5718,47,5203,42.7,2272,43.7,12172,2022-03-24,"Prowers County, CO","Colorado",12172,745,"Otero, CO - Prowers, CO","0.0%",0,0,"Low"
"296",8101,2022-03-31,13,"Pueblo County","CO",97.1,104793,62.2,95161,56.5,47031,49.4,168424,2022-03-24,"Pueblo County, CO","Colorado",168424,704,"Pueblo (Pueblo), CO - Las Animas, CO","1.1%",1.5,20.78,"Low"
"297",8103,2022-03-31,13,"Rio Blanco County","CO",97.1,2773,43.8,2428,38.4,1070,44.1,6324,2022-03-24,"Rio Blanco County, CO","Colorado",6324,711,"Mesa, CO - Garfield, CO","1.4%",4,0,"Low"
"298",8105,2022-03-31,13,"Rio Grande County","CO",97.1,7827,69.5,7085,62.9,3700,52.2,11267,2022-03-24,"Rio Grande County, CO","Colorado",11267,731,"Alamosa, CO - Rio Grande, CO","3.0%",2.1,35.5,"Low"
"299",8107,2022-03-31,13,"Routt County","CO",97.1,21632,84.4,19343,75.4,10918,56.4,25638,2022-03-24,"Routt County, CO","Colorado",25638,735,"Routt, CO - Moffat, CO","0.0%",0,58.51,"Low"
"300",8109,2022-03-31,13,"Saguache County","CO",97.1,2626,38.5,2440,35.8,1408,57.7,6824,2022-03-24,"Saguache County, CO","Colorado",6824,731,"Alamosa, CO - Rio Grande, CO","3.0%",2.1,0,"Low"
"301",8111,2022-03-31,13,"San Juan County","CO",97.1,778,95,686,94.2,369,53.8,728,2022-03-24,"San Juan County, CO","Colorado",728,740,"San Juan, NM - Navajo, AZ","2.2%",3.1,0,"Low"
"302",8113,2022-03-31,13,"San Miguel County","CO",97.1,7829,95,6781,82.9,3667,54.1,8179,2022-03-24,"San Miguel County, CO","Colorado",8179,761,"Montrose, CO - Delta, CO","1.3%",1.9,48.91,"Low"
"303",8115,2022-03-31,13,"Sedgwick County","CO",97.1,1274,56.7,1174,52.2,615,52.4,2248,2022-03-24,"Sedgwick County, CO","Colorado",2248,763,"Logan, CO - Phillips, CO","1.2%",6.9,0,"Low"
"304",8117,2022-03-31,13,"Summit County","CO",97.1,30473,95,26158,84.4,12912,49.4,31011,2022-03-24,"Summit County, CO","Colorado",31011,688,"Denver (Denver), CO - Jefferson, CO","1.4%",3.2,70.94,"Low"
"305",8119,2022-03-31,13,"Teller County","CO",97.1,14380,56.6,13676,53.9,7367,53.9,25388,2022-03-24,"Teller County, CO","Colorado",25388,754,"El Paso (Colorado Springs), CO - Teller, CO","1.4%",2.4,3.94,"Low"
"306",8121,2022-03-31,13,"Washington County","CO",97.1,1667,34,1512,30.8,699,46.2,4908,2022-03-24,"Washington County, CO","Colorado",4908,760,"Weld, CO - Morgan, CO","1.1%",3.5,40.75,"Low"
"307",8123,2022-03-31,13,"Weld County","CO",97.1,211948,65.3,197212,60.8,92755,47,324492,2022-03-24,"Weld County, CO","Colorado",324492,760,"Weld, CO - Morgan, CO","1.1%",3.5,26.5,"Low"
"308",8125,2022-03-31,13,"Yuma County","CO",97.1,4892,48.8,4393,43.8,1904,43.3,10019,2022-03-24,"Yuma County, CO","Colorado",10019,760,"Weld, CO - Morgan, CO","1.1%",3.5,9.98,"Low"
"309",9001,2022-03-31,13,"Fairfield County","CT",98.3,953063,95,762667,80.8,362224,47.5,943332,2022-03-24,"Fairfield County, CT","Connecticut",943332,121,"Fairfield, CT","1.7%",3.6,66.36,"Low"
"310",9003,2022-03-31,13,"Hartford County","CT",98.3,778187,87.3,672222,75.4,354278,52.7,891720,2022-03-24,"Hartford County, CT","Connecticut",891720,4,"Hartford (Hartford), CT - Tolland, CT","1.0%",2.6,48.22,"Low"
"311",9005,2022-03-31,13,"Litchfield County","CT",98.3,156652,86.9,135611,75.2,72569,53.5,180333,2022-03-24,"Litchfield County, CT","Connecticut",180333,85,"New Haven (New Haven), CT - Litchfield, CT","1.3%",6,36.04,"Low"
"312",9007,2022-03-31,13,"Middlesex County","CT",98.3,156170,95,134684,82.9,76858,57.1,162436,2022-03-24,"Middlesex County, CT","Connecticut",162436,85,"New Haven (New Haven), CT - Litchfield, CT","1.3%",6,61.56,"Low"
"313",9009,2022-03-31,13,"New Haven County","CT",98.3,805030,94.2,657988,77,330948,50.3,854757,2022-03-24,"New Haven County, CT","Connecticut",854757,85,"New Haven (New Haven), CT - Litchfield, CT","1.3%",6,76.98,"Low"
"314",9011,2022-03-31,13,"New London County","CT",98.3,245635,92.6,208992,78.8,105051,50.3,265206,2022-03-24,"New London County, CT","Connecticut",265206,20,"Providence (Providence), RI - New London, CT","2.2%",3.9,66.74,"Low"
"315",9013,2022-03-31,13,"Tolland County","CT",98.3,114656,76.1,100409,66.6,58221,58,150721,2022-03-24,"Tolland County, CT","Connecticut",150721,4,"Hartford (Hartford), CT - Tolland, CT","1.0%",2.6,48.43,"Low"
"316",9015,2022-03-31,13,"Windham County","CT",98.3,86030,73.7,74472,63.8,36563,49.1,116782,2022-03-24,"Windham County, CT","Connecticut",116782,4,"Hartford (Hartford), CT - Tolland, CT","1.0%",2.6,43.67,"Low"
"317",10001,2022-03-31,13,"Kent County","DE",96.1,116907,64.7,100428,55.6,41914,41.7,180786,2022-03-24,"Kent County, DE","Delaware",180786,3,"Sussex, DE - Kent, DE","2.1%",3.5,45.36,"Low"
"318",10003,2022-03-31,13,"New Castle County","DE",96.1,464399,83.1,381600,68.3,166286,43.6,558753,2022-03-24,"New Castle County, DE","Delaware",558753,75,"New Castle (Wilmington), DE - Harford, MD","1.4%",5.3,50.47,"Low"
"319",10005,2022-03-31,13,"Sussex County","DE",96.1,187882,80.2,157673,67.3,76591,48.6,234225,2022-03-24,"Sussex County, DE","Delaware",234225,3,"Sussex, DE - Kent, DE","2.1%",3.5,38.85,"Low"
"320",11001,2022-03-31,13,"District of Columbia","DC",94.7,650444,92.2,486804,69,175793,36.1,705749,2022-03-24,"District of Columbia, DC","District of Columbia",705749,61,"Montgomery, MD - Prince Georges, MD","2.0%",1.7,0,"Low"
"321",12001,2022-03-31,13,"Alachua County","FL",98.6,202732,75.4,177496,66,78749,44.4,269043,2022-03-24,"Alachua County, FL","Florida",269043,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,72.85,"Medium"
"322",12003,2022-03-31,13,"Baker County","FL",98.6,12845,44,10584,36.2,2977,28.1,29210,2022-03-24,"Baker County, FL","Florida",29210,158,"Duval (Jacksonville), FL - Clay, FL","2.3%",3.8,82.16,"Low"
"323",12005,2022-03-31,13,"Bay County","FL",98.6,109370,62.6,92491,52.9,29794,32.2,174705,2022-03-24,"Bay County, FL","Florida",174705,155,"Bay (Panama City), FL - Jackson, FL","2.3%",2,21.18,"Low"
"324",12007,2022-03-31,13,"Bradford County","FL",98.6,14886,52.8,12473,44.2,3882,31.1,28201,2022-03-24,"Bradford County, FL","Florida",28201,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,39.01,"Medium"
"325",12009,2022-03-31,13,"Brevard County","FL",98.6,452775,75.2,387244,64.3,161112,41.6,601942,2022-03-24,"Brevard County, FL","Florida",601942,237,"Brevard (Palm Bay), FL - Indian River, FL","1.9%",1.1,29.4,"Low"
"326",12011,2022-03-31,13,"Broward County","FL",98.6,1656084,84.8,1384741,70.9,528183,38.1,1952778,2022-03-24,"Broward County, FL","Florida",1952778,200,"Miami-Dade (Miami), FL - Broward, FL","1.7%",3.5,45.88,"Low"
"327",12013,2022-03-31,13,"Calhoun County","FL",98.6,5816,41.2,4892,34.7,1604,32.8,14105,2022-03-24,"Calhoun County, FL","Florida",14105,155,"Bay (Panama City), FL - Jackson, FL","2.3%",2,49.63,"Low"
"328",12015,2022-03-31,13,"Charlotte County","FL",98.6,148424,78.6,122643,64.9,56155,45.8,188910,2022-03-24,"Charlotte County, FL","Florida",188910,213,"Sarasota (Sarasota), FL - Charlotte, FL","2.4%",7,59.29,"Low"
"329",12017,2022-03-31,13,"Citrus County","FL",98.6,95526,63.8,83900,56.1,39373,46.9,149657,2022-03-24,"Citrus County, FL","Florida",149657,233,"Marion (Ocala), FL - Citrus, FL","3.1%",7,36.75,"Low"
"330",12019,2022-03-31,13,"Clay County","FL",98.6,139731,63.7,117971,53.8,41619,35.3,219252,2022-03-24,"Clay County, FL","Florida",219252,158,"Duval (Jacksonville), FL - Clay, FL","2.3%",3.8,10.95,"Low"
"331",12021,2022-03-31,13,"Collier County","FL",98.6,314543,81.7,267219,69.4,107852,40.4,384902,2022-03-24,"Collier County, FL","Florida",384902,165,"Lee (Cape Coral), FL - Collier, FL","1.3%",2.6,42.09,"Low"
"332",12023,2022-03-31,13,"Columbia County","FL",98.6,34889,48.7,29951,41.8,9980,33.3,71686,2022-03-24,"Columbia County, FL","Florida",71686,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,8.37,"Medium"
"333",12027,2022-03-31,13,"DeSoto County","FL",98.6,22200,58.4,17491,46,5436,31.1,38001,2022-03-24,"DeSoto County, FL","Florida",38001,213,"Sarasota (Sarasota), FL - Charlotte, FL","2.4%",7,155.26,"Low"
"334",12029,2022-03-31,13,"Dixie County","FL",98.6,7350,43.7,5751,34.2,1983,34.5,16826,2022-03-24,"Dixie County, FL","Florida",16826,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,35.66,"Medium"
"335",12031,2022-03-31,13,"Duval County","FL",98.6,671822,70.1,581627,60.7,216094,37.2,957755,2022-03-24,"Duval County, FL","Florida",957755,158,"Duval (Jacksonville), FL - Clay, FL","2.3%",3.8,33.83,"Low"
"336",12033,2022-03-31,13,"Escambia County","FL",98.6,206820,65,176863,55.6,60665,34.3,318316,2022-03-24,"Escambia County, FL","Florida",318316,163,"Escambia (Pensacola), FL - Okaloosa, FL","1.5%",4.8,16.34,"Low"
"337",12035,2022-03-31,13,"Flagler County","FL",98.6,83353,72.4,72718,63.2,34030,46.8,115081,2022-03-24,"Flagler County, FL","Florida",115081,142,"Orange (Orlando), FL - Volusia, FL","2.1%",3.8,30.41,"Low"
"338",12037,2022-03-31,13,"Franklin County","FL",98.6,6539,53.9,5807,47.9,2387,41.1,12125,2022-03-24,"Franklin County, FL","Florida",12125,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,32.99,"Low"
"339",12039,2022-03-31,13,"Gadsden County","FL",98.6,29903,65.5,26380,57.8,10850,41.1,45660,2022-03-24,"Gadsden County, FL","Florida",45660,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,26.28,"Low"
"340",12041,2022-03-31,13,"Gilchrist County","FL",98.6,7858,42.3,6782,36.5,2493,36.8,18582,2022-03-24,"Gilchrist County, FL","Florida",18582,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,16.14,"Medium"
"341",12043,2022-03-31,13,"Glades County","FL",98.6,5674,41.1,4653,33.7,1877,40.3,13811,2022-03-24,"Glades County, FL","Florida",13811,165,"Lee (Cape Coral), FL - Collier, FL","1.3%",2.6,0,"Low"
"342",12045,2022-03-31,13,"Gulf County","FL",98.6,8084,59.3,7005,51.4,2660,38,13639,2022-03-24,"Gulf County, FL","Florida",13639,155,"Bay (Panama City), FL - Jackson, FL","2.3%",2,29.33,"Low"
"343",12047,2022-03-31,13,"Hamilton County","FL",98.6,5874,40.7,5009,34.7,1768,35.3,14428,2022-03-24,"Hamilton County, FL","Florida",14428,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,34.65,"Medium"
"344",12049,2022-03-31,13,"Hardee County","FL",98.6,13245,49.2,11482,42.6,3217,28,26937,2022-03-24,"Hardee County, FL","Florida",26937,202,"Polk (Lakeland), FL - Highlands, FL","2.7%",5.9,63.11,"Low"
"345",12051,2022-03-31,13,"Hendry County","FL",98.6,25352,60.3,20729,49.3,5442,26.3,42022,2022-03-24,"Hendry County, FL","Florida",42022,165,"Lee (Cape Coral), FL - Collier, FL","1.3%",2.6,4.76,"Low"
"346",12053,2022-03-31,13,"Hernando County","FL",98.6,119690,61.7,105824,54.6,45257,42.8,193920,2022-03-24,"Hernando County, FL","Florida",193920,227,"Hillsborough (Tampa), FL - Pinellas, FL","2.0%",5.8,29.39,"Low"
"347",12055,2022-03-31,13,"Highlands County","FL",98.6,68295,64.3,55272,52,22465,40.6,106221,2022-03-24,"Highlands County, FL","Florida",106221,202,"Polk (Lakeland), FL - Highlands, FL","2.7%",5.9,35.77,"Low"
"348",12057,2022-03-31,13,"Hillsborough County","FL",98.6,1088980,74,917933,62.4,338112,36.8,1471968,2022-03-24,"Hillsborough County, FL","Florida",1471968,227,"Hillsborough (Tampa), FL - Pinellas, FL","2.0%",5.8,38.52,"Low"
"349",12059,2022-03-31,13,"Holmes County","FL",98.6,6938,35.4,5769,29.4,1724,29.9,19617,2022-03-24,"Holmes County, FL","Florida",19617,155,"Bay (Panama City), FL - Jackson, FL","2.3%",2,5.1,"Low"
"350",12061,2022-03-31,13,"Indian River County","FL",98.6,127570,79.8,106689,66.7,47230,44.3,159923,2022-03-24,"Indian River County, FL","Florida",159923,237,"Brevard (Palm Bay), FL - Indian River, FL","1.9%",1.1,36.89,"Low"
"351",12063,2022-03-31,13,"Jackson County","FL",98.6,23917,51.5,20047,43.2,7132,35.6,46414,2022-03-24,"Jackson County, FL","Florida",46414,155,"Bay (Panama City), FL - Jackson, FL","2.3%",2,12.93,"Low"
"352",12065,2022-03-31,13,"Jefferson County","FL",98.6,10182,71.5,8479,59.5,3241,38.2,14246,2022-03-24,"Jefferson County, FL","Florida",14246,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,21.06,"Low"
"353",12067,2022-03-31,13,"Lafayette County","FL",98.6,3706,44,3312,39.3,1095,33.1,8422,2022-03-24,"Lafayette County, FL","Florida",8422,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,47.49,"Medium"
"354",12069,2022-03-31,13,"Lake County","FL",98.6,276001,75.2,240576,65.5,102148,42.5,367118,2022-03-24,"Lake County, FL","Florida",367118,142,"Orange (Orlando), FL - Volusia, FL","2.1%",3.8,40.59,"Low"
"355",12071,2022-03-31,13,"Lee County","FL",98.6,554359,71.9,474057,61.5,199935,42.2,770577,2022-03-24,"Lee County, FL","Florida",770577,165,"Lee (Cape Coral), FL - Collier, FL","1.3%",2.6,41.66,"Low"
"356",12073,2022-03-31,13,"Leon County","FL",98.6,191075,65.1,165553,56.4,74084,44.7,293582,2022-03-24,"Leon County, FL","Florida",293582,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,21.12,"Low"
"357",12075,2022-03-31,13,"Levy County","FL",98.6,22754,54.8,19486,47,7429,38.1,41503,2022-03-24,"Levy County, FL","Florida",41503,159,"Alachua (Gainesville), FL - Columbia, FL","2.3%",11,36.14,"Medium"
"358",12077,2022-03-31,13,"Liberty County","FL",98.6,3243,38.8,2849,34.1,931,32.7,8354,2022-03-24,"Liberty County, FL","Florida",8354,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,0,"Low"
"359",12079,2022-03-31,13,"Madison County","FL",98.6,10103,54.6,8490,45.9,3233,38.1,18493,2022-03-24,"Madison County, FL","Florida",18493,183,"Leon (Tallahassee), FL - Gadsden, FL","1.1%",2.5,21.63,"Low"
"360",12081,2022-03-31,13,"Manatee County","FL",98.6,287792,71.4,246942,61.2,106431,43.1,403253,2022-03-24,"Manatee County, FL","Florida",403253,266,"Manatee, FL","2.4%",2,63.73,"Low"
"361",12083,2022-03-31,13,"Marion County","FL",98.6,234352,64.1,206623,56.5,94396,45.7,365579,2022-03-24,"Marion County, FL","Florida",365579,233,"Marion (Ocala), FL - Citrus, FL","3.1%",7,18.6,"Low"
"362",12085,2022-03-31,13,"Martin County","FL",98.6,118430,73.6,101801,63.2,44078,43.3,161000,2022-03-24,"Martin County, FL","Florida",161000,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL","1.5%",3.5,29.19,"Low"
"363",12086,2022-03-31,13,"Miami-Dade County","FL",98.6,2831096,95,2290857,84.3,742710,32.4,2716940,2022-03-24,"Miami-Dade County, FL","Florida",2716940,200,"Miami-Dade (Miami), FL - Broward, FL","1.7%",3.5,52.01,"Low"
"364",12087,2022-03-31,13,"Monroe County","FL",98.6,69609,93.8,57813,77.9,21103,36.5,74228,2022-03-24,"Monroe County, FL","Florida",74228,200,"Miami-Dade (Miami), FL - Broward, FL","1.7%",3.5,29.64,"Low"
"365",12089,2022-03-31,13,"Nassau County","FL",98.6,58461,66,50728,57.2,21344,42.1,88625,2022-03-24,"Nassau County, FL","Florida",88625,158,"Duval (Jacksonville), FL - Clay, FL","2.3%",3.8,19.18,"Low"
"366",12091,2022-03-31,13,"Okaloosa County","FL",98.6,159791,75.8,134233,63.7,38007,28.3,210738,2022-03-24,"Okaloosa County, FL","Florida",210738,163,"Escambia (Pensacola), FL - Okaloosa, FL","1.5%",4.8,23.25,"Low"
"367",12093,2022-03-31,13,"Okeechobee County","FL",98.6,22799,54.1,19456,46.1,6229,32,42168,2022-03-24,"Okeechobee County, FL","Florida",42168,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL","1.5%",3.5,26.09,"Low"
"368",12095,2022-03-31,13,"Orange County","FL",98.6,1148345,82.4,960867,69,349742,36.4,1393452,2022-03-24,"Orange County, FL","Florida",1393452,142,"Orange (Orlando), FL - Volusia, FL","2.1%",3.8,51.31,"Low"
"369",12097,2022-03-31,13,"Osceola County","FL",98.6,332596,88.5,272044,72.4,87938,32.3,375751,2022-03-24,"Osceola County, FL","Florida",375751,257,"Osceola, FL","1.9%",1.3,37.79,"Low"
"370",12099,2022-03-31,13,"Palm Beach County","FL",98.6,1145743,76.5,984852,65.8,410328,41.7,1496770,2022-03-24,"Palm Beach County, FL","Florida",1496770,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL","1.5%",3.5,35.54,"Low"
"371",12101,2022-03-31,13,"Pasco County","FL",98.6,373010,67.3,324265,58.5,135251,41.7,553947,2022-03-24,"Pasco County, FL","Florida",553947,227,"Hillsborough (Tampa), FL - Pinellas, FL","2.0%",5.8,28.7,"Low"
"372",12103,2022-03-31,13,"Pinellas County","FL",98.6,714592,73.3,626081,64.2,283778,45.3,974996,2022-03-24,"Pinellas County, FL","Florida",974996,227,"Hillsborough (Tampa), FL - Pinellas, FL","2.0%",5.8,32.41,"Low"
"373",12105,2022-03-31,13,"Polk County","FL",98.6,478665,66,411754,56.8,156214,37.9,724777,2022-03-24,"Polk County, FL","Florida",724777,202,"Polk (Lakeland), FL - Highlands, FL","2.7%",5.9,28.97,"Low"
"374",12107,2022-03-31,13,"Putnam County","FL",98.6,36825,49.4,31172,41.8,11651,37.4,74521,2022-03-24,"Putnam County, FL","Florida",74521,251,"St. Johns (St. Augustine), FL - Putnam, FL","2.2%",2.1,24.15,"Low"
"375",12109,2022-03-31,13,"St. Johns County","FL",98.6,206669,78.1,185306,70,85050,45.9,264672,2022-03-24,"St. Johns County, FL","Florida",264672,251,"St. Johns (St. Augustine), FL - Putnam, FL","2.2%",2.1,0,"Low"
"376",12111,2022-03-31,13,"St. Lucie County","FL",98.6,221914,67.6,190619,58.1,77249,40.5,328297,2022-03-24,"St. Lucie County, FL","Florida",328297,221,"Palm Beach (West Palm Beach), FL - St. Lucie, FL","1.5%",3.5,25.89,"Low"
"377",12113,2022-03-31,13,"Santa Rosa County","FL",98.6,119068,64.6,99404,53.9,33739,33.9,184313,2022-03-24,"Santa Rosa County, FL","Florida",184313,163,"Escambia (Pensacola), FL - Okaloosa, FL","1.5%",4.8,17.9,"Low"
"378",12115,2022-03-31,13,"Sarasota County","FL",98.6,356417,82.2,300665,69.3,144699,48.1,433742,2022-03-24,"Sarasota County, FL","Florida",433742,213,"Sarasota (Sarasota), FL - Charlotte, FL","2.4%",7,8.07,"Low"
"379",12117,2022-03-31,13,"Seminole County","FL",98.6,324436,68.8,291332,61.7,133866,45.9,471826,2022-03-24,"Seminole County, FL","Florida",471826,142,"Orange (Orlando), FL - Volusia, FL","2.1%",3.8,30.1,"Low"
"380",12119,2022-03-31,13,"Sumter County","FL",98.6,118970,89.8,105275,79.5,58722,55.8,132420,2022-03-24,"Sumter County, FL","Florida",132420,142,"Orange (Orlando), FL - Volusia, FL","2.1%",3.8,31.72,"Low"
